,compartment,total_population,time_step,crime_type
0,prison,11,252,AGG DWI:1 PRIOR CONV-10 YRS|E
1,prison,12,252,AGG DWI:2 PRIOR CONV-10 YRS|D
2,prison,1,252,AGG DWI:W/CHILD-2ND OFFENSE|D
3,prison,12,252,AGG DWI:W/CHILD|E
4,prison,8,252,AGG HAR:EMPLOYEE BY INMATE|E
5,prison,25,252,AGG UNLIC OPER MV 1ST|E
6,prison,5,252,AGGRAVATED ASSAULT/PEACE OFF.|B
7,prison,43,252,AGGRAVATED CRIM CONTEMPT|D
8,prison,64,252,AGGRAVATED FAMILY OFFENSE|E
9,prison,1,252,AGGRAVATED MANSLAUGHTER 2ND|C
10,prison,7,252,AGGRAVATED MURDER|A1
11,prison,7,252,AGGRAVATED SEXUAL ABUSE 1ST|B
12,prison,6,252,AGGRAVATED SEXUAL ABUSE 2ND|C
13,prison,2,252,AGGRAVATED SEXUAL ABUSE 3RD|D
14,prison,1,252,AGGRAVATED SEXUAL ABUSE 4TH|E
15,prison,20,252,AGGRAVATED VEHICULAR ASSAULT|C
16,prison,85,252,AGGRAVATED VEHICULAR HOMICIDE|B
17,prison,20,252,ARSON 1ST|A1
18,prison,79,252,ARSON 2ND|B
19,prison,42,252,ARSON 3RD|C
20,prison,4,252,ARSON 4TH|E
21,prison,8,252,ASLT:POLICE OFF/FIREMAN/EMT|C
22,prison,3,252,ASSAULT 1ST (HATE CRIME)|B
23,prison,955,252,ASSAULT 1ST|B
24,prison,1,252,ASSAULT 1ST|C
25,prison,2,252,ASSAULT 2ND (HATE CRIME)|C
26,prison,676,252,ASSAULT 2ND|D
27,prison,23,252,ATT AGGRAVATED ASSAULT/PEACE OFF.|C
28,prison,5,252,ATT AGGRAVATED CRIM CONTEMPT|E
29,prison,1,252,ATT AGGRAVATED MANSLAUGHTER 1ST|C
30,prison,13,252,ATT AGGRAVATED MURDER|A1
31,prison,1,252,ATT AGGRAVATED SEXUAL ABUSE 2ND|D
32,prison,1,252,ATT ARSON 1ST (HATE CRIME)|B
33,prison,6,252,ATT ARSON 1ST|B
34,prison,35,252,ATT ARSON 2ND|C
35,prison,9,252,ATT ARSON 3RD|D
36,prison,1,252,ATT ASLT:POLICE OFF/FIREMAN/EMT|D
37,prison,2,252,ATT ASSAULT 1ST (HATE CRIME)|B
38,prison,464,252,ATT ASSAULT 1ST|C
39,prison,150,252,ATT ASSAULT 2ND|E
40,prison,78,252,ATT BURGLARY 1ST|C
41,prison,31,252,ATT BURGLARY 2ND SUB 1|D
42,prison,426,252,ATT BURGLARY 2ND SUB 2|D
43,prison,66,252,ATT BURGLARY 3RD|E
44,prison,12,252,ATT CONSPIRACY 2ND|C
45,prison,37,252,ATT COURSE SEX CONDUCT-CHILD 1ST|C
46,prison,1,252,ATT COURSE SEX CONDUCT-CHILD 2ND|E
47,prison,9,252,ATT CRIM POSS CONTR SUBSTANCE 1ST|A1
48,prison,18,252,ATT CRIM POSS CONTR SUBSTANCE 2ND|A2
49,prison,261,252,ATT CRIM POSS CONTR SUBSTANCE 3RD|C
50,prison,32,252,ATT CRIM POSS CONTR SUBSTANCE 4TH|D
51,prison,44,252,ATT CRIM POSS CONTR SUBSTANCE 5TH|E
52,prison,5,252,ATT CRIM POSS FORGED INST 1ST|D
53,prison,20,252,ATT CRIM POSS FORGED INST 2ND|E
54,prison,1,252,ATT CRIM POSS MARIHUANA 2ND|E
55,prison,3,252,ATT CRIM POSS STOLEN PROP 3RD|E
56,prison,2,252,ATT CRIM POSS WEAP 1ST|B
57,prison,2,252,ATT CRIM POSS WEAP 1ST|C
58,prison,717,252,ATT CRIM POSS WEAP 2ND|D
59,prison,22,252,ATT CRIM POSS WEAP 3RD SUB 1 2 3|E
60,prison,9,252,ATT CRIM POSS WEAP 3RD SUB 4-8 VFO|E
61,prison,3,252,ATT CRIM SALE CONTR SUBSTANCE 1ST|A1
62,prison,2,252,ATT CRIM SALE CONTR SUBSTANCE 2ND|A2
63,prison,202,252,ATT CRIM SALE CONTR SUBSTANCE 3RD|C
64,prison,5,252,ATT CRIM SALE CONTR SUBSTANCE 4TH|D
65,prison,8,252,ATT CRIM SALE CONTR SUBSTANCE 5TH|E
66,prison,4,252,ATT CRIM SALE FIREARM 1ST|C
67,prison,1,252,ATT CRIM SALE FIREARM 2ND|D
68,prison,3,252,ATT CRIM SALE FIREARM 3RD|E
69,prison,69,252,ATT CRIM SEXUAL ACT 1ST|C
70,prison,10,252,ATT CRIM SEXUAL ACT 2ND|E
71,prison,1,252,ATT CRIM TAMPERING 1ST|E
72,prison,7,252,ATT DISSEM INDECENT MAT MINOR 1ST|E
73,prison,6,252,ATT ENTERPRISE CORRUPTION|C
74,prison,1,252,ATT FORGERY 2ND|E
75,prison,31,252,ATT GANG ASSAULT 1ST|C
76,prison,6,252,ATT GANG ASSAULT 2ND|D
77,prison,1,252,ATT GRAND LARCENY - AUTO 2ND|D
78,prison,1,252,ATT GRAND LARCENY - NOT AUTO 1ST|C
79,prison,3,252,ATT GRAND LARCENY - NOT AUTO 2ND|D
80,prison,14,252,ATT GRAND LARCENY - NOT AUTO 3RD|E
81,prison,3,252,ATT IDENTITY THEFT 1ST|E
82,prison,2,252,ATT JO - MURDER 2ND|B
83,prison,3,252,ATT KIDNAPPING 1ST|B
84,prison,23,252,ATT KIDNAPPING 2ND|C
85,prison,2,252,ATT MAKE TERRORISTIC THREAT|E
86,prison,4,252,ATT MANSLAUGHTER 1ST|C
87,prison,4,252,ATT MANSLAUGHTER 2ND|D
88,prison,1,252,ATT MENACING POLICE/PEACE OFFICER|E
89,prison,78,252,ATT MURDER 1ST|A1
90,prison,1,252,ATT MURDER 2ND (HATE CRIME)|B
91,prison,1055,252,ATT MURDER 2ND|B
92,prison,15,252,ATT OPERATE MAJOR DRUG TRAFFICKER|B
93,prison,1,252,ATT PERJURY 1ST|E
94,prison,1,252,ATT PRED SEX ASSAULT AGAINST CHILD|A2
95,prison,2,252,ATT PREDATORY SEXUAL ASSAULT|A2
96,prison,24,252,ATT PROM PRISON CONTRABAND 1ST|E
97,prison,2,252,ATT PROM PROSTITUTION 1ST|C
98,prison,1,252,ATT PROM PROSTITUTION 2ND|D
99,prison,1,252,ATT PROM SEXUAL PERF BY A CHILD|E
100,prison,150,252,ATT RAPE 1ST|C
101,prison,16,252,ATT RAPE 2ND|E
102,prison,7,252,ATT RECKLESS ENDANGERMENT 1ST|E
103,prison,426,252,ATT ROBBERY 1ST|C
104,prison,135,252,ATT ROBBERY 2ND SUB 1|D
105,prison,214,252,ATT ROBBERY 2ND SUB 2 3|D
106,prison,53,252,ATT ROBBERY 3RD|E
107,prison,2,252,ATT SEX TRAFFICKING SUB 5A  5B|C
108,prison,5,252,ATT SEX TRAFFICKING|C
109,prison,35,252,ATT SEXUAL ABUSE 1ST|E
110,prison,3,252,ATT SODOMY 1ST|C
111,prison,13,252,ATT STRANGULATION 2ND|E
112,prison,1,252,ATT UNLAW MANUFACTURE METH 3RD|E
113,prison,3,252,ATT USE OF CHILD IN A SEXUAL PERF|D
114,prison,1,252,AUTO STRIPPING 1ST|D
115,prison,4,252,BAIL JUMPING 1ST|D
116,prison,6,252,BAIL JUMPING 2ND|E
117,prison,1,252,BRIBE REC 2ND|C
118,prison,2,252,BRIBERY 2ND|C
119,prison,4,252,BRIBING A WITNESS|D
120,prison,2,252,BURGLARY 1ST (HATE CRIME)|B
121,prison,687,252,BURGLARY 1ST|B
122,prison,1,252,BURGLARY 2ND SUB 1 (HATE CRIME)|B
123,prison,78,252,BURGLARY 2ND SUB 1|C
124,prison,5,252,BURGLARY 2ND SUB 2 (HATE CRIME)|B
125,prison,1053,252,BURGLARY 2ND SUB 2|C
126,prison,541,252,BURGLARY 3RD|D
127,prison,2,252,COERCION 1ST|D
128,prison,2,252,COMPELLING PROSTITUTION|B
129,prison,1,252,CONCEALMENT OF A HUMAN CORPSE|E
130,prison,9,252,CONSPIRACY 1ST|A1
131,prison,128,252,CONSPIRACY 2ND|B
132,prison,3,252,CONSPIRACY 3RD|D
133,prison,6,252,CONSPIRACY 4TH|E
134,prison,447,252,COURSE SEX CONDUCT-CHILD 1ST|B
135,prison,52,252,COURSE SEX CONDUCT-CHILD 2ND|D
136,prison,134,252,CRIM CONTEMPT 1ST|E
137,prison,3,252,CRIM FACILITATION 2ND|C
138,prison,1,252,CRIM IMPERSONATION 1ST|E
139,prison,10,252,CRIM MISCHIEF 2ND|D
140,prison,18,252,CRIM MISCHIEF 3RD|E
141,prison,3,252,CRIM NEGLIGENT HOMICIDE|E
142,prison,1,252,CRIM NUISANCE 1ST|E
143,prison,126,252,CRIM POSS CONTR SUBSTANCE 1ST|A1
144,prison,292,252,CRIM POSS CONTR SUBSTANCE 2ND|A2
145,prison,1070,252,CRIM POSS CONTR SUBSTANCE 3RD|B
146,prison,152,252,CRIM POSS CONTR SUBSTANCE 4TH|C
147,prison,126,252,CRIM POSS CONTR SUBSTANCE 5TH|D
148,prison,44,252,CRIM POSS FIREARM|E
149,prison,10,252,CRIM POSS FORGED INST 1ST|C
150,prison,52,252,CRIM POSS FORGED INST 2ND|D
151,prison,2,252,CRIM POSS FORGERY DEVICES|D
152,prison,5,252,CRIM POSS MARIHUANA 1ST|C
153,prison,5,252,CRIM POSS MARIHUANA 2ND|D
154,prison,2,252,CRIM POSS MARIHUANA 3RD|E
155,prison,2,252,CRIM POSS PRECURSORS OF METH|E
156,prison,2,252,CRIM POSS STOLEN PROP 2ND|C
157,prison,31,252,CRIM POSS STOLEN PROP 3RD|D
158,prison,49,252,CRIM POSS STOLEN PROP 4TH|E
159,prison,11,252,CRIM POSS WEAP 1ST|B
160,prison,1613,252,CRIM POSS WEAP 2ND|C
161,prison,196,252,CRIM POSS WEAP 3RD SUB 1 2 3|D
162,prison,21,252,CRIM POSS WEAP 3RD SUB 4-8 VFO|D
163,prison,1,252,CRIM POSS WEAP 3RD SUB 9 10|D
164,prison,1,252,CRIM PURCHASE/DISPOSAL WEAPON|D
165,prison,1,252,CRIM SALE CONTR SUBS - SCHOOL|B
166,prison,78,252,CRIM SALE CONTR SUBSTANCE 1ST|A1
167,prison,199,252,CRIM SALE CONTR SUBSTANCE 2ND|A2
168,prison,905,252,CRIM SALE CONTR SUBSTANCE 3RD|B
169,prison,21,252,CRIM SALE CONTR SUBSTANCE 4TH|C
170,prison,71,252,CRIM SALE CONTR SUBSTANCE 5TH|D
171,prison,76,252,CRIM SALE FIREARM 1ST|B
172,prison,18,252,CRIM SALE FIREARM 2ND|C
173,prison,10,252,CRIM SALE FIREARM 3RD|D
174,prison,1,252,CRIM SALE FIREARM/AID OF MINOR|C
175,prison,4,252,CRIM SALE MARIHUANA 2ND|D
176,prison,1,252,CRIM SALE MARIHUANA 3RD|E
177,prison,1,252,CRIM SALE PRESCRIPTION|C
178,prison,488,252,CRIM SEXUAL ACT 1ST|B
179,prison,72,252,CRIM SEXUAL ACT 2ND|D
180,prison,35,252,CRIM SEXUAL ACT 3RD|E
181,prison,1,252,CRIM SOLICITATION 2ND|D
182,prison,1,252,CRIM TAMPERING 1ST|D
183,prison,7,252,CRIM USE OF FIREARMS 1ST|B
184,prison,11,252,DISSEM INDECENT MAT MINOR 1ST|D
185,prison,3,252,DISSEM INDECENT MAT MINOR 2ND|E
186,prison,8,252,DRIV IMP/DRUGS - 3RD OFFENSE|D
187,prison,7,252,DRIV IMP/DRUGS-2ND OFFENSE|E
188,prison,67,252,DWI:ALCOHOL/DRUGS-2ND OFFENSE|E
189,prison,74,252,DWI:ALCOHOL/DRUGS-3RD OFFENSE|D
190,prison,2,252,ENDANGER INCOMPETENT 1ST|E
191,prison,17,252,ENTERPRISE CORRUPTION|B
192,prison,1,252,ESCAPE 1ST|D
193,prison,2,252,ESCAPE 2ND|E
194,prison,1,252,FACILITATE SEX OFF/CONTROL SUB|D
195,prison,1,252,FACILITATE SEX PERFRM BY CHILD|B
196,prison,1,252,FAIL DISCLOSE ORIGIN REC 1ST|E
197,prison,1,252,FALSELY REPORTING INCIDENT 1ST|D
198,prison,1,252,FALSELY REPORTING INCIDENT 2ND|E
199,prison,6,252,FALSIFY BUSINESS RECORDS 1ST|E
200,prison,14,252,FORGERY 2ND|D
201,prison,74,252,GANG ASSAULT 1ST|B
202,prison,21,252,GANG ASSAULT 2ND|C
203,prison,5,252,GRAND LARCENY - AUTO 2ND|C
204,prison,22,252,GRAND LARCENY - AUTO 3RD|D
205,prison,10,252,GRAND LARCENY - AUTO 4TH|E
206,prison,10,252,GRAND LARCENY - NOT AUTO 1ST|B
207,prison,48,252,GRAND LARCENY - NOT AUTO 2ND|C
208,prison,2,252,GRAND LARCENY - NOT AUTO 3RD (HATE CRIME)|C
209,prison,75,252,GRAND LARCENY - NOT AUTO 3RD|D
210,prison,1,252,GRAND LARCENY - NOT AUTO 4TH (HATE CRIME)|D
211,prison,99,252,GRAND LARCENY - NOT AUTO 4TH|E
212,prison,1,252,HINDERING PROSECUTION 1ST|D
213,prison,19,252,IDENTITY THEFT 1ST|D
214,prison,4,252,IDENTITY THEFT 2ND|E
215,prison,2,252,INCEST 1ST|B
216,prison,1,252,INCEST 3RD|E
217,prison,1,252,INTIMIDATE VICTIM/WITNESS 2ND|D
218,prison,1,252,INTIMIDATE VICTIM/WITNESS 3RD|E
219,prison,1,252,JO - ARSON 2ND|B
220,prison,1,252,JO - ASSAULT 1ST|B
221,prison,1,252,JO - CRIM SEXUAL ACT 1ST|B
222,prison,2,252,JO - MANSLAUGHTER 1ST|B
223,prison,24,252,JO - MURDER 2ND|A1
224,prison,1,252,JO - RAPE 1ST|B
225,prison,7,252,JO - ROBBERY 1ST|B
226,prison,42,252,KIDNAPPING 1ST|A1
227,prison,127,252,KIDNAPPING 2ND|B
228,prison,3,252,LV SCENE OF ACC W/O REPORTING|E
229,prison,15,252,LV SCENE OF ACCIDENT - DEATH|D
230,prison,4,252,MAKE TERRORISTIC THREAT|D
231,prison,2,252,MANSLAUGHTER 1ST (HATE CRIME)|B
232,prison,1796,252,MANSLAUGHTER 1ST|B
233,prison,1,252,MANSLAUGHTER 2ND (HATE CRIME)|B
234,prison,142,252,MANSLAUGHTER 2ND|C
235,prison,13,252,MENACING POLICE/PEACE OFFICER|D
236,prison,1,252,MONEY LAUNDERING 1ST|B
237,prison,2,252,MONEY LAUNDERING 2ND|C
238,prison,1,252,MONEY LAUNDERING 3RD|D
239,prison,1,252,MURDER 1ST (HATE CRIME)|A1
240,prison,353,252,MURDER 1ST|A1
241,prison,4,252,MURDER 2ND (HATE CRIME)|A1
242,prison,2810,252,MURDER 2ND|A1
243,prison,2,252,OFFER FALSE INST FILING 1ST|E
244,prison,48,252,OPERATE MAJOR DRUG TRAFFICKER|A1
245,prison,6,252,PERJURY 1ST|D
246,prison,13,252,PERSISTENT SEXUAL ABUSE|E
247,prison,1,252,PLACING FALSE BOMB|D
248,prison,41,252,POSS A SEX PERF BY A CHILD|E
249,prison,1,252,POSS EXPLOSIVES W/O LIC|D
250,prison,4,252,POSS OBSCENE SEX PERF BY CHILD|E
251,prison,202,252,PRED SEX ASSAULT AGAINST CHILD|A2
252,prison,77,252,PREDATORY SEXUAL ASSAULT|A2
253,prison,6,252,PROM OBSCENE SEX PERF BY CHILD|D
254,prison,23,252,PROM PRISON CONTRABAND 1ST|D
255,prison,4,252,PROM PROSTITUTION 1ST|B
256,prison,10,252,PROM PROSTITUTION 2ND|C
257,prison,7,252,PROM PROSTITUTION 3RD|D
258,prison,50,252,PROM SEXUAL PERF BY A CHILD|D
259,prison,1,252,RAPE 1ST (PRIOR 9/1/78)|B
260,prison,863,252,RAPE 1ST|B
261,prison,150,252,RAPE 2ND|D
262,prison,75,252,RAPE 3RD|E
263,prison,9,252,RECKLESS ASSAULT OF A CHILD|D
264,prison,50,252,RECKLESS ENDANGERMENT 1ST|D
265,prison,1,252,RESIDENTIAL MORTGAGE FRAUD 2ND|C
266,prison,1,252,ROBBERY 1ST (HATE CRIME)|B
267,prison,1726,252,ROBBERY 1ST|B
268,prison,1,252,ROBBERY 2ND SUB 1 (HATE CRIME)|B
269,prison,319,252,ROBBERY 2ND SUB 1|C
270,prison,1,252,ROBBERY 2ND SUB 2 3 (HATE CRIME)|B
271,prison,428,252,ROBBERY 2ND SUB 2 3|C
272,prison,295,252,ROBBERY 3RD|D
273,prison,31,252,SEX OFF REG VIOL-1ST OFFENSE|E
274,prison,25,252,SEX OFF REG VIOL-2ND OFFENSE|D
275,prison,1,252,SEX TRAFFICKING (HATE CRIME)|B
276,prison,1,252,SEX TRAFFICKING OF A CHILD|B
277,prison,10,252,SEX TRAFFICKING SUB 5A  5B|B
278,prison,38,252,SEX TRAFFICKING|B
279,prison,271,252,SEXUAL ABUSE 1ST|D
280,prison,67,252,SODOMY 1ST|B
281,prison,2,252,SODOMY 2ND|D
282,prison,1,252,SODOMY 3RD|E
283,prison,3,252,STALKING 1ST SUB 1|D
284,prison,4,252,STRANGULATION 1ST|C
285,prison,60,252,STRANGULATION 2ND|D
286,prison,1,252,TAMPER WITH A WITNESS 1ST|B
287,prison,1,252,TAMPER WITH A WITNESS 2ND|D
288,prison,5,252,TAMPER WITH PHYS EVIDENCE|E
289,prison,1,252,UNAUTH USE OF MV 1ST|D
290,prison,1,252,UNAUTH USE OF MV 2ND|E
291,prison,3,252,UNLAW IMPRISONMENT 1ST|E
292,prison,11,252,UNLAW MANUFACTURE METH 2ND|C
293,prison,36,252,UNLAW MANUFACTURE METH 3RD|D
294,prison,3,252,UNLAW SURVEILLANCE 2ND SUB 1|E
295,prison,9,252,UNLAW SURVEILLANCE 2ND(2 3 4)|E
296,prison,33,252,USE OF CHILD IN A SEXUAL PERF|C
297,prison,10,252,VEHICULAR ASSAULT 1ST|D
298,prison,5,252,VEHICULAR ASSAULT 2ND|E
299,prison,27,252,VEHICULAR MANSLAUGHTER 1ST|C
300,prison,16,252,VEHICULAR MANSLAUGHTER 2ND|D
301,prison,1,252,WELFARE FRAUD 2ND|C
302,prison,1,252,WELFARE FRAUD 3RD|D
